[INFO ] [2022-12-05 22:46:08,878] Register_Step01_Open reigster page
[INFO ] [2022-12-05 22:46:12,927] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 22:46:13,013] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 22:46:13,103] Register_Step04_Enter to email texbox is '78910@gmail.com'
[INFO ] [2022-12-05 22:46:13,197] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 22:46:13,283] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 22:46:13,374] Register_Step07_Click to Register button
[INFO ] [2022-12-05 22:46:15,549] Register_Step08_Verify Register success
[INFO ] [2022-12-05 22:46:15,602] Open customer infor page
[INFO ] [2022-12-05 22:46:17,276] Open customer address page
[INFO ] [2022-12-05 22:46:18,897] Open customer infor page
[INFO ] [2022-12-05 22:46:19,397] Open reward point page
[INFO ] [2022-12-05 22:46:20,531] Open customer infor page
[INFO ] [2022-12-05 22:56:58,825] Register_Step01_Open reigster page
[INFO ] [2022-12-05 22:57:00,194] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 22:57:00,276] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 22:57:00,352] Register_Step04_Enter to email texbox is '16610@gmail.com'
[INFO ] [2022-12-05 22:57:00,434] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 22:57:00,525] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 22:57:00,616] Register_Step07_Click to Register button
[INFO ] [2022-12-05 22:57:01,467] Register_Step08_Verify Register success
[INFO ] [2022-12-05 22:57:01,510] Open customer infor page
[INFO ] [2022-12-05 22:57:02,064] Step01_Open customer address page
[INFO ] [2022-12-05 22:57:02,865] Step02_Open customer infor page
[INFO ] [2022-12-05 22:57:03,286] Step03_Open reward point page
[INFO ] [2022-12-05 22:57:04,337] Step04_Open customer infor page
[INFO ] [2022-12-05 23:06:19,483] Register_Step01_Open reigster page
[INFO ] [2022-12-05 23:06:22,719] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 23:06:22,824] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 23:06:22,903] Register_Step04_Enter to email texbox is '9230@gmail.com'
[INFO ] [2022-12-05 23:06:22,982] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 23:06:23,052] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 23:06:23,130] Register_Step07_Click to Register button
[INFO ] [2022-12-05 23:06:27,648] Register_Step08_Verify Register success
[INFO ] [2022-12-05 23:06:27,711] Step01_Open customer infor page
[INFO ] [2022-12-05 23:06:30,390] Step01_Open customer address page
[INFO ] [2022-12-05 23:06:30,982] Step02_Open customer infor page
[INFO ] [2022-12-05 23:06:31,499] Step03_Open reward point page
[INFO ] [2022-12-05 23:06:33,709] Step04_Open customer infor page
[INFO ] [2022-12-05 23:07:25,669] Register_Step01_Open reigster page
[INFO ] [2022-12-05 23:07:26,937] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 23:07:27,020] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 23:07:27,112] Register_Step04_Enter to email texbox is '70246@gmail.com'
[INFO ] [2022-12-05 23:07:27,206] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 23:07:27,290] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 23:07:27,381] Register_Step07_Click to Register button
[INFO ] [2022-12-05 23:07:28,616] Register_Step08_Verify Register success
[INFO ] [2022-12-05 23:07:28,665] Step01_Open customer infor page
[INFO ] [2022-12-05 23:07:30,762] Step01_Open customer address page
[INFO ] [2022-12-05 23:07:32,070] Step02_Open customer infor page
[INFO ] [2022-12-05 23:07:32,921] Step03_Open reward point page
[INFO ] [2022-12-05 23:07:33,715] Step04_Open customer infor page
[INFO ] [2022-12-05 23:29:00,605] Register_Step01_Open reigster page
[INFO ] [2022-12-05 23:29:02,042] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 23:29:02,125] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 23:29:02,217] Register_Step04_Enter to email texbox is '91583@gmail.com'
[INFO ] [2022-12-05 23:29:02,309] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 23:29:02,396] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 23:29:02,488] Register_Step07_Click to Register button
[INFO ] [2022-12-05 23:29:03,268] Register_Step08_Verify Register success
[INFO ] [2022-12-05 23:29:43,855] Step01_Open customer infor page
[INFO ] [2022-12-05 23:30:24,426] Step01_Open customer address page
[INFO ] [2022-12-05 23:31:41,513] Register_Step01_Open reigster page
[INFO ] [2022-12-05 23:31:42,484] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 23:31:42,576] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 23:31:42,667] Register_Step04_Enter to email texbox is '90010@gmail.com'
[INFO ] [2022-12-05 23:31:42,760] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 23:31:42,848] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 23:31:42,931] Register_Step07_Click to Register button
[INFO ] [2022-12-05 23:31:43,706] Register_Step08_Verify Register success
[INFO ] [2022-12-05 23:32:24,293] Step01_Open customer infor page
[INFO ] [2022-12-05 23:33:04,863] Step01_Open customer address page
[INFO ] [2022-12-05 23:41:14,919] Register_Step01_Open reigster page
[INFO ] [2022-12-05 23:41:17,250] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-05 23:41:17,341] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-05 23:41:17,433] Register_Step04_Enter to email texbox is '71474@gmail.com'
[INFO ] [2022-12-05 23:41:17,525] Register_Step05_Enter to password texbox
[INFO ] [2022-12-05 23:41:17,607] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-05 23:41:17,688] Register_Step07_Click to Register button
[INFO ] [2022-12-05 23:41:18,520] Register_Step08_Verify Register success
[INFO ] [2022-12-05 23:41:18,568] Step01_Open customer infor page
[INFO ] [2022-12-05 23:41:19,052] Step01_Open customer address page
[INFO ] [2022-12-05 23:41:19,512] Step02_Open customer infor page
[INFO ] [2022-12-05 23:41:19,880] Step03_Open reward point page
[INFO ] [2022-12-05 23:41:20,394] Step04_Open customer infor page
[INFO ] [2022-12-06 21:44:25,448] Register_Step01_Open reigster page
[INFO ] [2022-12-06 21:44:26,556] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-06 21:44:26,639] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-06 21:44:26,731] Register_Step04_Enter to email texbox is '96765@gmail.com'
[INFO ] [2022-12-06 21:44:26,829] Register_Step05_Enter to password texbox
[INFO ] [2022-12-06 21:44:26,908] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-06 21:44:26,990] Register_Step07_Click to Register button
[INFO ] [2022-12-06 21:44:27,860] Register_Step08_Verify Register success
[INFO ] [2022-12-06 21:44:27,919] Step01_Open customer infor page
[INFO ] [2022-12-06 21:44:28,414] Step01_Open customer address page
[INFO ] [2022-12-06 21:44:28,884] Step02_Open customer infor page
[INFO ] [2022-12-06 21:44:29,334] Step03_Open reward point page
[INFO ] [2022-12-06 21:44:31,305] Step04_Open customer infor page
[INFO ] [2022-12-08 22:10:20,081] Register_Step01_Open reigster page
[INFO ] [2022-12-08 22:10:21,499] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-08 22:10:21,591] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-08 22:10:21,686] Register_Step04_Enter to email texbox is '62143@gmail.com'
[INFO ] [2022-12-08 22:10:21,779] Register_Step05_Enter to password texbox
[INFO ] [2022-12-08 22:10:21,865] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-08 22:10:21,949] Register_Step07_Click to Register button
[INFO ] [2022-12-08 22:10:22,808] Register_Step08_Verify Register success
[INFO ] [2022-12-08 22:10:22,865] Step01_Open customer infor page
[INFO ] [2022-12-08 22:10:23,439] Step01_Open customer address page
[INFO ] [2022-12-08 22:10:24,253] Step02_Open customer infor page
[INFO ] [2022-12-08 22:10:24,684] Step03_Open reward point page
[INFO ] [2022-12-08 22:10:26,009] Step04_Open customer infor page
[INFO ] [2022-12-08 22:11:09,381] Register_Step01_Open reigster page
[INFO ] [2022-12-08 22:11:10,747] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-08 22:11:10,849] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-08 22:11:10,939] Register_Step04_Enter to email texbox is '27042@gmail.com'
[INFO ] [2022-12-08 22:11:11,033] Register_Step05_Enter to password texbox
[INFO ] [2022-12-08 22:11:11,122] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-08 22:11:11,213] Register_Step07_Click to Register button
[INFO ] [2022-12-08 22:11:12,071] Register_Step08_Verify Register success
[INFO ] [2022-12-08 22:11:12,192] Step01_Open customer infor page
[INFO ] [2022-12-08 22:11:12,783] Step01_Open customer address page
[INFO ] [2022-12-08 22:11:13,328] Step02_Open customer infor page
[INFO ] [2022-12-08 22:11:13,708] Step03_Open reward point page
[INFO ] [2022-12-08 22:11:15,932] Step04_Open customer infor page
[INFO ] [2022-12-08 22:27:21,134] Register_Step01_Open reigster page
[INFO ] [2022-12-08 22:27:21,907] Register_Step02_Enter to firstname textbox
[INFO ] [2022-12-08 22:27:21,998] Register_Step03_Enter to lastname textbox
[INFO ] [2022-12-08 22:27:22,090] Register_Step04_Enter to email texbox is '70807@gmail.com'
[INFO ] [2022-12-08 22:27:22,187] Register_Step05_Enter to password texbox
[INFO ] [2022-12-08 22:27:22,270] Register_Step06_Enter to confirm password texbox
[INFO ] [2022-12-08 22:27:22,360] Register_Step07_Click to Register button
[INFO ] [2022-12-08 22:27:23,154] Register_Step08_Verify Register success
[INFO ] [2022-12-08 22:27:23,267] Step01_Open customer infor page
[INFO ] [2022-12-08 22:27:23,791] Step01_Open customer address page
[INFO ] [2022-12-08 22:27:24,282] Step02_Open customer infor page
[INFO ] [2022-12-08 22:27:24,707] Step03_Open reward point page
[INFO ] [2022-12-08 22:27:25,214] Step04_Open customer infor page
[INFO ] [2022-12-08 22:27:57,032] Register_Step01_Open reigster page
[INFO ] [2022-12-08 22:27:58,297] Register_Step02_Enter to firstname textbox
